PRODUCT_NUM                     ,DEPARTMENT                ,COMMODITY                 ,BRAND_TY,NATURAL_ORGANIC_FLAG
05224396                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
05283370                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
05283371                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
05301622                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
05304609                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
05320043                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
05326475                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
05373790                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
05381244                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
05423543                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
05444899                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
05445044                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
05446096                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
05489139                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
05491158                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
05492075                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
05494249                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
05511332                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
05554469                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
05559304                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
05608742                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
05610839                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
05612934                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
05650366                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
05691758                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
05693839                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
05707403                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
05731235                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
05737815                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
05741056                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
05751569                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
05755688                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
05756917                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
05765381                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
05778004                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
05820153                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
05824264                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
05828676                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
05872131                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
05872224                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
05874129                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
05874146                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
05874988                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
05878634                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
05881748                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
05882114                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
05895824                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
05911781                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
05913173                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
05927319                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
05948688                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
05974519                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
05990078                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
05990304                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
06001428                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
06003443                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
06008373                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
06017829                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
06062577                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
06073827                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
06083805                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
06083836                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
06083864                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
06089235                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
06098181                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
06098200                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
06098201                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
06098288                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
06098304                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
06169440                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
06170870                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
06210561                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
06216291                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
06218360                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
06218373                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
06229249                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
06229440                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
06249336                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
06250149                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
06252472                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
06255131                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
06255189                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
06263885                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
06279024                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
06289097                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
06335362                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
06349305                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
06421585                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
06426158                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
06426242                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
06426252                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
06438231                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
06438242                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
06438345                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
06438359                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
06438368                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
06442778                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
06442803                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
06442841                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
06462828                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
06467300                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
06475889                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
06492988                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
06495213                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
06495279                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
06495296                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
06497113                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
06522173                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
06525402                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
06539234                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
06541061                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
06541062                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
06542298                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
06542311                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
06583327                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
06583335                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
06583338                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
06583341                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
06583351                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
06583356                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
06583362                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
06583369                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
06583370                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
06583375                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
06583383                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
06583389                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
06606999                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
06609969                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
06610008                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
06610021                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
06610031                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
06610071                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
06610080                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
06610081                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
06656153                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
06656163                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
06656188                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
06656196                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
06656229                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
06656239                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
06656258                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
06656260                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
06664018                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
06664082                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
06664097                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
06664106                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
06664116                        ,NON-FOOD                  ,PET                       ,NATIONAL,N
